id,1976,1980,1984,1988,1992
13193,-65.05,-53.56,-24.93,-23.15,-40.65
13195,-50.25,-12.03,38.07,38.69,13.90
13197,-63.74,-34.24,-5.84,-2.42,-21.11
13199,-53.82,-35.11,5.46,2.76,-22.38
13201,-52.68,-11.06,43.86,36.31,-4.87
13205,-48.18,-22.80,-0.98,6.79,-19.59
13207,-46.63,-33.68,5.01,13.16,-5.69
13209,-44.01,-27.08,17.93,15.22,-6.73
13211,-43.11,-25.96,14.62,16.54,-5.84
13213,-59.59,-33.10,36.21,40.65,6.82
13215,-28.19,-20.39,6.68,10.20,-7.98
13217,-49.31,-26.56,26.32,30.08,-0.05
13219,-30.60,-1.74,40.58,36.21,17.09
13221,-39.14,-14.85,26.31,25.58,2.67
13223,-58.20,-23.86,39.53,45.70,13.04
13225,-54.85,-34.29,-11.91,-3.28,-19.36
13227,-45.09,-18.30,35.64,35.56,-0.47
13229,-65.70,-29.85,13.71,11.09,1.05
13231,-42.07,-15.64,21.32,27.43,4.17
13233,-51.76,-28.87,24.99,29.28,-6.69
13235,-65.39,-26.11,2.34,-2.63,-19.73
13237,-41.91,-24.71,15.60,15.84,-8.37
13239,-36.77,-41.70,-15.16,-18.97,-25.92
13241,-60.46,-35.97,26.72,27.08,0.52
13243,-49.06,-35.80,4.09,-1.86,-29.37
13245,-14.66,-10.00,16.96,14.66,-7.87
13247,-21.88,8.99,50.92,48.04,21.78
13249,-49.00,-14.75,20.75,18.18,-6.94
13251,-29.67,-17.11,19.31,19.60,-5.38
13253,-50.56,-23.06,9.58,11.27,-13.62
13255,-34.01,-19.20,27.46,28.11,5.53
13257,-61.16,-37.12,28.20,32.73,12.61
13259,-58.06,-39.72,-23.81,-15.41,-12.17
13261,-44.37,-24.80,10.59,12.48,-9.52
13263,-56.14,-47.39,-31.51,-21.65,-40.90
13265,-52.03,-41.93,-26.73,-20.98,-43.94
13267,-45.68,-15.63,30.15,30.30,3.47
13269,-59.12,-38.18,-1.82,0.48,-14.97
13271,-69.46,-38.75,-1.71,1.11,-21.80
13273,-33.56,-18.48,4.37,4.61,-23.00
13275,-30.65,-13.79,22.82,29.99,5.52
13277,-41.15,-16.11,23.63,31.99,5.80
13279,-31.12,-6.78,30.42,58.39,12.83
13281,-20.63,-1.14,32.12,30.72,5.05
13283,-54.23,-31.89,12.60,14.39,-9.30
13285,-27.04,-17.26,27.84,34.94,10.01
13287,-68.97,-37.38,2.27,7.32,-24.24
13289,-66.12,-49.19,-21.12,-15.61,-36.67
13291,-41.55,-4.65,26.50,31.06,4.05
13293,-18.58,-25.21,24.01,26.62,3.48
13295,-24.97,1.97,36.44,37.53,12.99
13297,-52.41,-26.11,33.63,31.64,6.44
13299,-48.73,-25.57,11.14,5.75,0.00
13301,-29.93,-31.80,-7.29,-9.69,-22.44
13303,-39.99,-30.39,-2.48,2.55,-16.71
13305,-49.93,-26.47,20.61,16.01,4.36
13307,-58.07,-31.49,-14.10,-8.35,-43.03
13309,-60.05,-47.99,3.67,3.71,-16.42
13311,-54.55,-25.62,36.98,43.83,13.79
13313,-39.92,-20.00,38.70,46.66,20.99
13315,-72.31,-36.24,0.25,6.73,-16.49
13317,-39.51,-31.41,7.33,7.74,-10.60
13319,-52.02,-35.36,-8.97,-8.35,-25.88
13321,-41.41,-10.46,26.66,33.85,-4.01
15001,-1.87,-9.43,7.26,-16.68,-20.16
15003,-1.50,1.39,13.14,-7.15,-7.51
15005,,,,,
15007,-12.58,-19.24,2.11,-17.13,-23.22
15009,-7.11,-8.99,6.25,-14.87,-21.13
16001,31.32,39.15,46.16,27.97,15.48
16003,11.50,31.58,43.00,25.79,3.05
16005,11.86,32.95,32.79,6.69,2.87
16007,36.07,68.21,69.76,40.84,25.75
16009,-2.97,19.50,16.75,4.08,-1.27
16011,24.74,57.13,58.45,39.34,19.94
16013,14.75,15.84,28.85,10.98,-0.42
16015,21.51,33.37,47.24,24.80,6.81
16017,5.47,22.34,19.33,1.45,-2.53
16019,36.02,61.70,66.17,51.68,17.85
16021,8.62,28.49,29.42,14.49,9.09
16023,5.99,48.22,48.43,26.18,11.24
16025,27.65,40.57,49.08,34.78,11.73
16027,28.44,42.21,52.43,34.63,26.75
16029,32.89,70.73,69.42,43.64,8.10
16031,39.09,62.26,71.96,48.19,29.74
16033,31.85,60.46,70.84,35.15,17.97
16035,-8.48,11.10,14.76,-5.58,-7.53
16037,23.70,52.58,55.60,33.60,4.62
16039,12.72,36.28,51.38,28.35,17.71
16041,38.96,73.42,75.41,56.47,30.25
16043,27.26,61.70,65.69,47.79,19.86
16045,9.29,37.60,38.07,16.76,14.78
16047,19.84,42.42,50.24,21.25,10.55
