statecounty,margin,coolidge,davis,other,lafollette
08103,28.51%, 60.84%, 32.33%, 0.56%, 6.27%
08105,22.12%, 53.51%, 31.38%, 0.92%, 14.19%
08107,20.73%, 53.51%, 32.78%, 0.53%, 13.19%
08109,29.72%, 58.33%, 28.61%, 0.63%, 12.44%
08111,2.19%, 39.78%, 37.59%,-, 22.63%
08113,7.09%, 43.62%, 36.53%, 1.29%, 18.56%
08115,27.15%, 51.97%, 24.82%, 0.73%, 22.48%
08117,15.17%, 47.52%, 32.35%, 0.81%, 19.33%
08119,20.68%, 48.78%, 22.51%, 0.61%, 28.10%
08121,30.17%, 54.27%, 21.11%, 0.53%, 24.10%
08123,41.72%, 62.68%, 20.96%, 0.58%, 15.78%
08125,34.28%, 57.91%, 17.96%, 0.50%, 23.63%
09001,44.76%, 66.22%, 21.47%, 0.40%, 11.91%
09003,33.54%, 61.93%, 28.39%, 0.40%, 9.28%
09005,35.05%, 61.35%, 26.30%, 0.10%, 12.25%
09007,37.36%, 65.22%, 27.87%, 0.15%, 6.76%
09009,27.32%, 57.40%, 30.08%, 0.41%, 12.11%
09011,32.84%, 62.34%, 29.50%, 0.17%, 7.98%
09013,35.27%, 62.29%, 27.02%, 0.37%, 10.31%
09015,25.23%, 59.64%, 34.42%, 0.08%, 5.86%
10001,0.30%, 49.17%, 49.47%, 1.37%,-
10003,30.40%, 61.24%, 30.84%, 0.03%, 7.89%
10005,7.64%, 53.23%, 45.59%, 1.18%,-
11001,0%,-,-,-,-
12001,52.51%, 18.90%, 71.40%, 3.47%, 6.23%
12003,24.01%, 32.72%, 56.73%, 1.85%, 6.60%
12005,41.67%, 25.48%, 67.15%, 0.80%, 3.61%
12007,67.42%, 14.24%, 81.67%, 1.52%, 2.58%
12009,23.72%, 34.22%, 57.94%, 1.99%, 5.85%
12011,1.43%, 41.45%, 42.87%,-, 8.76%
12013,67.44%, 10.79%, 78.23%, 0.39%, 7.13%
12015,28.79%, 31.21%, 60.00%, 0.75%, 5.61%
12017,74.06%, 5.94%, 83.76%, 0.59%, 9.70%
12019,28.33%, 28.84%, 57.17%, 2.02%, 11.97%
12021,73.89%, 8.33%, 82.22%, 0.56%, 2.78%
12023,72.66%, 8.94%, 81.60%, 0.53%, 6.41%
12027,44.92%, 25.14%, 70.05%, 1.64%,-
12029,89.01%, 5.13%, 94.14%, 0.73%,-
12031,23.00%, 28.93%, 51.93%,-, 10.64%
12033,23.40%, 29.34%, 52.74%, 1.15%, 14.16%
12035,34.14%, 20.16%, 54.30%,-, 17.47%
12037,56.51%, 20.00%, 76.51%, 0.55%, 2.94%
12039,76.81%, 5.86%, 84.91%, 1.12%, 8.10%
12041,0%,-,-,-,-
12043,37.18%, 23.92%, 61.10%,-, 7.20%
12045,0%,-,-,-,-
12047,57.91%, 17.40%, 75.30%, 3.28%, 4.01%
12049,45.58%, 22.66%, 68.24%, 0.94%, 5.75%
12051,64.53%, 12.21%, 76.74%, 1.16%, 6.40%
12053,60.10%, 14.71%, 74.81%, 1.50%, 8.98%
12055,24.18%, 33.38%, 57.56%, 1.76%, 7.30%
12057,40.18%, 22.08%, 62.26%,-, 10.65%
12059,23.87%, 32.03%, 55.90%, 2.12%, 9.94%
12061,0%,-,-,-,-
12063,66.17%, 14.59%, 80.76%, 0.91%, 3.74%
12065,73.42%, 9.69%, 83.11%, 0.88%, 6.31%
12067,80.05%, 8.13%, 88.18%, 0.99%, 2.71%
12069,16.65%, 36.46%, 53.12%,-, 6.08%
12071,18.06%, 34.03%, 52.10%,-, 4.93%
12073,77.03%, 8.29%, 85.32%, 2.43%, 3.96%
12075,37.99%, 26.23%, 64.22%, 2.82%, 6.74%
12077,78.13%, 8.04%, 86.16%, 1.34%, 4.46%
12079,85.67%, 3.88%, 90.73%, 0.34%, 5.06%
12081,22.50%, 32.54%, 55.04%, 3.05%, 9.36%
12083,56.17%, 17.25%, 73.43%, 1.15%, 4.52%
12085,0%,-,-,-,-
12086,2.87%, 26.01%, 32.83%, 1.63%, 9.58%
12087,46.51%, 21.27%, 67.78%, 1.79%, 9.17%
12089,66.80%, 13.86%, 80.65%, 1.31%, 4.18%
12091,48.16%, 19.20%, 67.37%, 0.63%, 8.71%
12093,45.96%, 20.96%, 66.91%, 1.10%, 6.99%
12095,5.60%, 40.24%, 45.84%,-, 5.26%
12097,16.75%, 33.45%, 50.20%,-, 3.69%
12099,4.89%, 46.14%, 41.25%,-, 10.02%
12101,21.15%, 32.42%, 53.57%, 1.24%, 9.82%
12103,3.95%, 47.53%, 43.57%, 1.39%, 5.00%
12105,29.08%, 28.89%, 57.97%, 1.21%, 8.70%
12107,19.28%, 35.13%, 54.41%,-, 5.45%
12109,26.86%, 27.44%, 54.30%,-, 9.93%
12111,13.96%, 36.95%, 50.92%, 1.55%, 10.58%
12113,47.30%, 23.34%, 70.64%, 2.14%, 3.87%
12115,3.68%, 40.48%, 44.16%, 1.30%, 10.17%
12117,36.13%, 23.46%, 59.58%, 1.01%, 15.95%
12119,55.01%, 15.93%, 70.94%, 2.36%, 10.77%
12121,74.14%, 9.50%, 83.65%, 0.86%, 5.99%
12123,61.84%, 16.45%, 78.29%, 2.14%,-
12125,87.93%, 4.60%, 92.53%, 0.86%, 2.01%
12127,10.29%, 40.83%, 51.11%, 2.95%, 5.11%
12129,76.61%, 8.74%, 85.35%, 2.06%, 3.86%
12131,51.62%, 18.77%, 70.39%,-, 4.78%
12133,42.79%, 24.76%, 67.55%, 0.72%, 4.45%
13001,65.37%, 17.12%, 82.49%, 0.39%,-
13003,84.63%, 5.73%, 90.37%,-, 3.90%
13005,83.60%, 7.49%, 91.09%, 1.42%,-
13007,82.05%, 7.69%, 89.74%,-, 2.56%
13009,73.07%, 10.87%, 83.94%,-, 5.18%
