06061,x,"36,945","1,686",4.56%, 50.34%, 45.77%, 3.39%, 0.50%,"16,911","1,251", 186
06063,x,"6,360",105,1.65%, 48.07%, 46.42%, 5.00%, 0.52%,"2,952",318, 33
06065,x,"186,404","36,529",19.60%, 58.00%, 38.41%, 3.13%, 0.46%,"71,591","5,843", 850
06067,x,"288,221","3,931",1.36%, 49.00%, 47.63%, 2.72%, 0.65%,"137,287","7,841"," 1,875"
06069,x,"6,881","1,379",20.04%, 57.56%, 37.52%, 4.48%, 0.44%,"2,582",308, 30
06071,x,"242,256","58,703",24.23%, 59.73%, 35.49%, 4.27%, 0.51%,"85,986","10,342"," 1,239"
06073,x,"601,137","165,172",27.48%, 61.82%, 34.34%, 3.36%, 0.48%,"206,455","20,188"," 2,867"
06075,x,x,x,"304,770","43,421",14.25%, 56.07%, 41.82%,"170,882","127,461"," 6,427"
06077,x,"111,469","17,584",15.77%, 55.30%, 39.53%, 4.51%, 0.66%,"44,062","5,027", 734
06079,x,"51,033","7,787",15.26%, 55.98%, 40.72%, 2.27%, 1.04%,"20,779","1,156", 532
06081,x,"256,297","25,632",10.00%, 52.82%, 42.82%, 2.73%, 1.63%,"109,745","7,008"," 4,167"
06083,x,"121,541","16,466",13.55%, 55.19%, 41.64%, 2.55%, 0.62%,"50,609","3,103", 754
06085,x,x,x,"457,293","28,828",6.30%, 51.90%, 45.60%,"237,334","208,506"," 11,453"
06087,x,"69,759","2,463",3.53%, 49.88%, 46.35%, 2.77%, 0.99%,"32,336","1,931", 693
06089,x,"35,603",596,1.67%, 48.35%, 46.68%, 4.48%, 0.49%,"16,618","1,595", 176
06091,x,"1,324",29,2.19%, 49.70%, 47.51%, 2.04%, 0.76%,629,27, 10
06093,x,"14,696","1,129",7.68%, 51.46%, 43.78%, 4.23%, 0.53%,"6,434",621, 78
06095,x,"57,965","6,548",11.30%, 54.02%, 42.73%, 2.79%, 0.46%,"24,766","1,616", 269
06097,x,"105,434","13,951",13.23%, 54.72%, 41.49%, 3.03%, 0.76%,"43,746","3,192", 799
06099,x,"76,867","4,516",5.88%, 51.41%, 45.54%, 2.53%, 0.52%,"35,005","1,943", 398
06101,x,"16,372","4,815",29.41%, 62.45%, 33.04%, 3.95%, 0.56%,"5,409",647, 92
06103,x,"12,424",879,7.08%, 48.73%, 41.65%, 9.34%, 0.27%,"5,175","1,161", 34
06105,x,"3,681",247,6.71%, 50.75%, 44.04%, 4.59%, 0.62%,"1,621",169, 23
06107,x,"60,150","14,273",23.73%, 59.93%, 36.20%, 3.45%, 0.42%,"21,775","2,076", 251
06109,x,"10,856","1,298",11.96%, 54.29%, 42.34%, 2.75%, 0.62%,"4,596",299, 67
06111,x,"150,805","46,003",30.50%, 63.20%, 32.70%, 3.70%, 0.40%,"49,307","5,586", 602
06113,x,x,x,"42,738","5,725",13.40%, 55.44%, 42.04%,"23,694","17,969"," 1,075"
06115,x,"11,630","2,188",18.81%, 56.95%, 38.13%, 4.45%, 0.46%,"4,435",518, 54
08001,x,x,x,"66,412","16,202",24.40%, 60.79%, 36.39%,"40,372","24,170"," 1,870"
08003,x,"4,665","1,376",29.50%, 62.51%, 33.01%, 4.09%, 0.39%,"1,540",191, 18
08005,x,x,x,"72,376","33,652",46.50%, 72.24%, 25.74%,"52,283","18,631"," 1,462"
08007,x,940,306,32.55%, 64.47%, 31.91%, 3.19%, 0.43%,300,30, 4
