statecounty,margin,nixon,humphrey,wallace
27041,5.89, 50.41, 44.52, 4.95
27043,12.78, 54.53, 41.75, 3.65
27045,22.05, 58.99, 36.94, 4.02
27047,8.19, 44.16, 52.35, 3.37
27049,6.66, 51.89, 45.23, 2.83
27051,1.29, 47.11, 48.40, 4.37
27053,12.30, 41.77, 54.07, 3.85
27055,22.74, 57.94, 35.19, 6.78
27057,16.16, 54.95, 38.79, 6.14
27059,15.94, 38.33, 54.27, 7.12
27061,34.64, 30.22, 64.86, 4.81
27063,9.30, 42.65, 51.95, 5.31
27065,7.23, 43.48, 50.71, 5.65
27067,19.05, 37.96, 57.01, 4.91
27069,13.04, 40.88, 53.91, 5.10
27071,36.44, 29.57, 66.01, 4.20
27073,4.55, 45.85, 50.39, 3.64
27075,49.48, 22.93, 72.42, 4.46
27077,17.20, 38.96, 56.16, 4.43
27079,9.45, 43.72, 53.17, 3.05
27081,9.35, 42.98, 52.33, 4.64
27083,9.89, 43.46, 53.35, 3.07
27085,14.57, 54.87, 40.29, 4.77
27087,23.61, 34.28, 57.89, 7.72
27089,13.33, 39.74, 53.07, 7.02
27091,23.75, 59.43, 35.67, 4.84
27093,1.94, 46.46, 48.40, 5.03
27095,7.31, 43.40, 50.71, 5.79
27097,14.21, 40.08, 54.29, 5.44
27099,16.86, 39.70, 56.56, 3.55
27101,4.14, 49.35, 45.21, 5.37
27103,4.62, 50.58, 45.96, 3.38
27105,7.12, 44.04, 51.16, 4.72
27107,16.90, 39.53, 56.42, 3.99
27109,12.17, 54.31, 42.14, 3.46
27111,24.55, 60.30, 35.75, 3.87
27113,13.74, 41.12, 54.86, 3.88
27115,20.42, 36.41, 56.82, 6.51
27117,17.55, 56.48, 38.93, 4.53
27119,15.20, 40.04, 55.24, 4.61
